Year,Female,Male
1933,62.8,59.19
1934,62.3,58.29
1935,63.05,58.98
1936,62.6,58.35
1937,63.35,58.98
1938,64.54,60.46
1939,65.24,61.12
1940,65.55,61.13
1941,66.26,61.58
1942,67.13,62.21
1943,66.96,61.97
1944,67.73,62.51
1945,68.35,62.97
1946,68.88,63.59
1947,69.55,64.32
1948,70.07,64.66
1949,70.52,65.02
1950,71.01,65.4
1951,71.22,65.41
1952,71.5,65.54
1953,71.91,65.8
1954,72.7,66.57
1955,72.8,66.58
1956,72.95,66.61
1957,72.74,66.36
1958,73,66.6
1959,73.31,66.75
1960,73.3,66.62
1961,73.71,67.04
1962,73.59,66.88
1963,73.5,66.63
1964,73.81,66.82
1965,73.93,66.8
1966,73.97,66.69
1967,74.33,66.94
1968,74.08,66.55
1969,74.4,66.77
1970,74.65,67.02
1971,74.98,67.39
1972,75.11,67.42
1973,75.32,67.62
1974,75.85,68.18
1975,76.46,68.72
1976,76.68,69.08
1977,77.09,69.41
1978,77.23,69.62
1979,77.66,70.01
1980,77.48,69.98
1981,77.8,70.41
1982,78.08,70.8
1983,78.09,70.97
1984,78.17,71.12
1985,78.18,71.08
1986,78.27,71.14
1987,78.36,71.31
1988,78.31,71.32
1989,78.56,71.6
1990,78.85,71.85
1991,78.97,72.03
1992,79.18,72.32
1993,78.94,72.17
1994,79.06,72.39
1995,79.08,72.59
1996,79.22,73.07
1997,79.38,73.54
1998,79.43,73.81
1999,79.35,73.92
2000,79.43,74.12
2001,79.52,74.27
2002,79.58,74.35
2003,79.7,74.53
2004,80.06,74.96
2005,80.07,74.95
2006,80.33,75.23
2007,80.56,75.5
2008,80.59,75.64
2009,80.91,76.01
2010,81.07,76.23
2011,81.07,76.31
2012,81.18,76.43
2013,81.18,76.42
2014,81.26,76.47
2015,81.13,76.31
2016,81.17,76.21
2017,81.17,76.16
2018,81.33,76.3
2019,81.46,76.43
2020,79.89,74.34
2021,79.4,73.63
2022,80.27,74.88
2023,81.15,75.91